Scan,Time,5001 <LOAD> (VDC),5021 <DISP> (VDC),1-1p (6001),1-3p (6002),2-4p (6003),3-1p (6004),3-5p (6005),4-2p (6006),4-6p (6007),5-3p (6008),5-7p (6009),6-4p (6010),6-8p (6011),7-5p (6012),7-9p (6013),8-6p (6014),8-10p (6015),9-7p (6016),9-11p (6017),10-8p (6018),10-12p (6019),11-9p (6020),11-13p (6021),12-10p (6022),12-14p (6023),13-11p (6024),13-15p (6025),14-12p (6026),14-16p (6027),15-13p (6028),15-17p (6029),16-14p (6030),16-18p (6031),17-15p (6032),17-19p (6033),18-16p (6034),18-20p (6035),19-17p (6036),19-21p (6037),20-18p (6038),21-19p (6039),21-21p (6040)
69,2025-07-03 16:30:31.349663+00:00,0.1,0.1,71.0,36.0,8.0,0.0,99.0,35.0,5.0,60.0,31.0,74.0,59.0,48.0,28.0,95.0,47.0,72.0,86.0,30.0,6.0,31.0,88.0,66.0,9.0,74.0,0.0,58.0,85.0,82.0,31.0,57.0,89.0,26.0,46.0,27.0,41.0,70.0,48.0,60.0,82.0,64.0
70,2025-07-03 16:30:31.490946+00:00,0.1,0.1,56.0,12.0,40.0,16.0,6.0,86.0,62.0,37.0,88.0,43.0,1.0,93.0,93.0,1.0,79.0,7.0,96.0,79.0,52.0,55.0,66.0,82.0,44.0,5.0,26.0,64.0,82.0,75.0,56.0,88.0,44.0,29.0,95.0,40.0,51.0,58.0,66.0,100.0,94.0,83.0
71,2025-07-03 16:30:31.582175+00:00,0.1,0.1,90.0,40.0,84.0,17.0,99.0,99.0,85.0,99.0,84.0,59.0,92.0,93.0,96.0,65.0,12.0,63.0,7.0,10.0,55.0,67.0,2.0,30.0,89.0,90.0,47.0,0.0,27.0,11.0,86.0,87.0,35.0,22.0,87.0,54.0,78.0,23.0,56.0,12.0,43.0,64.0
72,2025-07-03 16:30:31.683140+00:00,0.1,0.1,46.0,32.0,36.0,30.0,13.0,85.0,46.0,84.0,11.0,88.0,0.0,92.0,16.0,60.0,72.0,56.0,97.0,7.0,8.0,79.0,93.0,57.0,21.0,22.0,67.0,91.0,85.0,70.0,11.0,25.0,59.0,45.0,91.0,50.0,64.0,99.0,85.0,1.0,76.0,1.0
73,2025-07-03 16:30:31.784192+00:00,0.1,0.1,29.0,75.0,89.0,53.0,61.0,6.0,93.0,34.0,100.0,39.0,46.0,16.0,32.0,81.0,47.0,91.0,38.0,86.0,71.0,96.0,10.0,98.0,57.0,78.0,94.0,96.0,44.0,11.0,5.0,66.0,96.0,32.0,93.0,35.0,85.0,76.0,38.0,89.0,97.0,93.0
74,2025-07-03 16:30:31.883967+00:00,0.1,0.1,6.0,93.0,84.0,15.0,93.0,1.0,17.0,84.0,59.0,38.0,27.0,79.0,47.0,57.0,58.0,46.0,96.0,57.0,56.0,53.0,2.0,83.0,47.0,36.0,86.0,78.0,55.0,35.0,87.0,72.0,33.0,16.0,45.0,62.0,11.0,58.0,93.0,57.0,87.0,36.0
75,2025-07-03 16:30:31.989805+00:00,0.1,0.1,56.0,97.0,69.0,16.0,95.0,85.0,86.0,29.0,15.0,6.0,91.0,97.0,37.0,86.0,20.0,31.0,66.0,39.0,61.0,93.0,66.0,3.0,70.0,18.0,2.0,47.0,63.0,11.0,40.0,98.0,94.0,43.0,73.0,45.0,56.0,3.0,53.0,46.0,15.0,25.0
76,2025-07-03 16:30:32.085356+00:00,0.1,0.1,74.0,66.0,62.0,33.0,76.0,26.0,39.0,46.0,33.0,48.0,89.0,34.0,15.0,17.0,89.0,100.0,7.0,61.0,15.0,22.0,8.0,11.0,41.0,94.0,61.0,18.0,14.0,78.0,82.0,84.0,39.0,20.0,15.0,1.0,61.0,57.0,7.0,18.0,98.0,59.0
77,2025-07-03 16:30:32.232249+00:00,0.1,0.1,64.0,89.0,35.0,80.0,46.0,32.0,61.0,16.0,62.0,51.0,14.0,67.0,13.0,30.0,86.0,43.0,30.0,81.0,42.0,20.0,68.0,13.0,15.0,60.0,62.0,39.0,85.0,17.0,37.0,52.0,80.0,96.0,71.0,98.0,17.0,95.0,12.0,86.0,35.0,72.0
78,2025-07-03 16:30:32.297636+00:00,0.1,0.1,97.0,50.0,3.0,27.0,99.0,92.0,11.0,80.0,1.0,74.0,72.0,53.0,48.0,45.0,37.0,22.0,99.0,40.0,42.0,55.0,45.0,63.0,49.0,83.0,54.0,95.0,47.0,59.0,95.0,35.0,81.0,18.0,40.0,53.0,83.0,6.0,47.0,1.0,45.0,41.0
79,2025-07-03 16:30:32.398265+00:00,0.1,0.1,100.0,28.0,63.0,48.0,66.0,72.0,47.0,79.0,98.0,26.0,54.0,7.0,27.0,38.0,85.0,43.0,70.0,25.0,59.0,16.0,35.0,78.0,34.0,51.0,81.0,70.0,70.0,53.0,37.0,92.0,67.0,81.0,45.0,67.0,27.0,89.0,6.0,45.0,51.0,60.0
80,2025-07-03 16:30:32.499041+00:00,0.1,0.1,91.0,6.0,81.0,50.0,55.0,69.0,21.0,6.0,55.0,37.0,22.0,65.0,70.0,14.0,62.0,52.0,43.0,4.0,11.0,97.0,73.0,17.0,45.0,14.0,9.0,56.0,60.0,68.0,12.0,17.0,86.0,96.0,61.0,66.0,23.0,97.0,13.0,72.0,57.0,19.0
81,2025-07-03 16:30:32.599471+00:00,0.1,0.1,50.0,85.0,48.0,58.0,40.0,71.0,94.0,84.0,34.0,13.0,53.0,76.0,93.0,28.0,51.0,100.0,78.0,66.0,80.0,66.0,23.0,9.0,6.0,69.0,98.0,63.0,15.0,51.0,74.0,1.0,48.0,1.0,47.0,59.0,2.0,8.0,68.0,71.0,2.0,87.0
82,2025-07-03 16:30:32.701255+00:00,0.1,0.1,80.0,4.0,58.0,6.0,52.0,13.0,40.0,95.0,80.0,18.0,25.0,95.0,64.0,57.0,81.0,73.0,32.0,13.0,14.0,66.0,13.0,31.0,92.0,47.0,61.0,68.0,35.0,36.0,23.0,100.0,31.0,87.0,20.0,77.0,86.0,100.0,73.0,66.0,18.0,64.0
83,2025-07-03 16:30:32.800859+00:00,0.1,0.1,42.0,33.0,92.0,34.0,50.0,79.0,73.0,6.0,79.0,29.0,72.0,54.0,45.0,86.0,1.0,16.0,21.0,67.0,89.0,54.0,88.0,51.0,21.0,85.0,57.0,33.0,71.0,0.0,54.0,93.0,87.0,32.0,5.0,43.0,83.0,86.0,80.0,95.0,83.0,95.0
84,2025-07-03 16:30:32.901247+00:00,0.1,0.1,13.0,52.0,43.0,33.0,61.0,63.0,77.0,16.0,46.0,76.0,70.0,8.0,10.0,96.0,89.0,78.0,66.0,47.0,3.0,31.0,21.0,38.0,35.0,35.0,79.0,26.0,51.0,86.0,61.0,50.0,100.0,51.0,88.0,8.0,73.0,14.0,87.0,23.0,5.0,55.0
85,2025-07-03 16:30:33.002252+00:00,0.1,0.1,85.0,50.0,27.0,33.0,34.0,12.0,86.0,1.0,59.0,98.0,1.0,16.0,67.0,29.0,58.0,78.0,56.0,38.0,9.0,98.0,59.0,92.0,1.0,22.0,5.0,89.0,74.0,27.0,93.0,77.0,32.0,92.0,23.0,78.0,94.0,53.0,7.0,44.0,100.0,57.0
86,2025-07-03 16:30:33.144400+00:00,0.1,0.1,24.0,92.0,40.0,98.0,41.0,61.0,90.0,40.0,53.0,58.0,70.0,64.0,62.0,98.0,55.0,45.0,46.0,1.0,44.0,74.0,88.0,32.0,38.0,34.0,89.0,6.0,66.0,65.0,6.0,82.0,36.0,87.0,3.0,13.0,37.0,61.0,24.0,3.0,19.0,45.0
87,2025-07-03 16:30:33.268351+00:00,0.1,0.1,47.0,81.0,80.0,50.0,14.0,100.0,80.0,30.0,7.0,46.0,67.0,66.0,68.0,52.0,98.0,58.0,21.0,61.0,99.0,97.0,76.0,30.0,90.0,71.0,21.0,90.0,3.0,29.0,31.0,80.0,10.0,97.0,56.0,36.0,1.0,30.0,56.0,65.0,76.0,78.0
88,2025-07-03 16:30:33.316880+00:00,0.1,0.1,99.0,20.0,3.0,42.0,94.0,56.0,50.0,9.0,59.0,1.0,16.0,62.0,61.0,50.0,21.0,54.0,53.0,83.0,71.0,94.0,100.0,52.0,53.0,90.0,64.0,34.0,15.0,30.0,91.0,4.0,64.0,1.0,91.0,95.0,29.0,91.0,98.0,67.0,100.0,3.0
89,2025-07-03 16:30:33.418054+00:00,0.1,0.1,33.0,83.0,13.0,94.0,72.0,62.0,62.0,46.0,33.0,45.0,24.0,49.0,23.0,6.0,43.0,55.0,92.0,63.0,34.0,84.0,88.0,7.0,77.0,20.0,28.0,100.0,78.0,89.0,18.0,96.0,3.0,93.0,29.0,50.0,17.0,93.0,8.0,62.0,53.0,70.0
90,2025-07-03 16:30:33.518760+00:00,0.1,0.1,11.0,15.0,12.0,70.0,95.0,82.0,40.0,48.0,73.0,77.0,78.0,42.0,46.0,96.0,11.0,92.0,37.0,36.0,70.0,84.0,84.0,97.0,100.0,49.0,60.0,80.0,45.0,81.0,97.0,32.0,86.0,9.0,18.0,44.0,74.0,5.0,99.0,21.0,29.0,13.0
91,2025-07-03 16:30:33.619108+00:00,0.1,0.1,72.0,95.0,12.0,59.0,70.0,97.0,41.0,12.0,17.0,34.0,55.0,0.0,34.0,34.0,42.0,18.0,4.0,66.0,56.0,36.0,40.0,64.0,21.0,86.0,28.0,93.0,78.0,32.0,57.0,98.0,51.0,26.0,28.0,57.0,15.0,10.0,77.0,50.0,28.0,48.0
92,2025-07-03 16:30:33.746695+00:00,0.1,0.1,56.0,47.0,83.0,2.0,87.0,19.0,49.0,83.0,27.0,21.0,87.0,47.0,85.0,100.0,33.0,5.0,95.0,18.0,94.0,81.0,63.0,53.0,79.0,29.0,38.0,100.0,62.0,28.0,27.0,95.0,39.0,94.0,30.0,3.0,98.0,67.0,90.0,21.0,5.0,26.0
93,2025-07-03 16:30:33.820044+00:00,0.1,0.1,69.0,65.0,4.0,17.0,37.0,66.0,71.0,43.0,8.0,43.0,25.0,98.0,8.0,84.0,25.0,42.0,41.0,62.0,12.0,15.0,35.0,74.0,55.0,61.0,44.0,12.0,66.0,5.0,90.0,62.0,75.0,60.0,14.0,65.0,16.0,29.0,55.0,100.0,42.0,20.0
94,2025-07-03 16:30:33.921943+00:00,0.1,0.1,89.0,36.0,76.0,12.0,83.0,8.0,81.0,66.0,96.0,15.0,52.0,23.0,81.0,11.0,94.0,58.0,100.0,4.0,30.0,15.0,80.0,73.0,63.0,85.0,50.0,99.0,20.0,63.0,78.0,15.0,7.0,27.0,22.0,79.0,91.0,58.0,37.0,39.0,52.0,62.0
95,2025-07-03 16:30:34.022090+00:00,0.1,0.1,97.0,60.0,67.0,50.0,30.0,30.0,2.0,28.0,6.0,71.0,82.0,89.0,46.0,14.0,41.0,48.0,25.0,89.0,80.0,23.0,17.0,67.0,15.0,40.0,65.0,30.0,74.0,70.0,47.0,87.0,55.0,67.0,47.0,81.0,59.0,38.0,7.0,5.0,93.0,3.0
96,2025-07-03 16:30:34.152577+00:00,0.1,0.1,11.0,78.0,81.0,78.0,85.0,1.0,66.0,63.0,29.0,5.0,25.0,8.0,71.0,24.0,47.0,62.0,13.0,74.0,93.0,28.0,32.0,79.0,16.0,86.0,35.0,96.0,58.0,8.0,30.0,24.0,73.0,9.0,96.0,21.0,68.0,69.0,50.0,47.0,79.0,63.0
97,2025-07-03 16:30:34.316754+00:00,0.1,0.1,50.0,68.0,75.0,0.0,21.0,95.0,11.0,61.0,54.0,91.0,44.0,69.0,30.0,49.0,99.0,40.0,88.0,64.0,42.0,83.0,60.0,5.0,27.0,96.0,45.0,89.0,55.0,38.0,15.0,62.0,20.0,77.0,71.0,49.0,76.0,43.0,5.0,77.0,4.0,81.0
98,2025-07-03 16:30:34.357774+00:00,0.1,0.1,36.0,25.0,98.0,17.0,91.0,91.0,95.0,57.0,63.0,38.0,54.0,82.0,35.0,16.0,27.0,18.0,95.0,54.0,8.0,89.0,61.0,37.0,52.0,98.0,74.0,71.0,57.0,64.0,9.0,23.0,63.0,86.0,20.0,96.0,87.0,23.0,61.0,12.0,97.0,45.0
99,2025-07-03 16:30:34.457715+00:00,0.1,0.1,46.0,31.0,87.0,35.0,46.0,39.0,54.0,82.0,55.0,24.0,11.0,48.0,34.0,64.0,43.0,53.0,79.0,71.0,47.0,86.0,72.0,47.0,75.0,74.0,89.0,59.0,1.0,4.0,16.0,38.0,78.0,57.0,52.0,98.0,0.0,99.0,22.0,99.0,36.0,51.0
100,2025-07-03 16:30:34.558327+00:00,0.1,0.1,14.0,60.0,87.0,66.0,87.0,20.0,24.0,98.0,12.0,47.0,68.0,4.0,37.0,15.0,47.0,52.0,36.0,74.0,86.0,58.0,7.0,26.0,33.0,3.0,92.0,46.0,48.0,65.0,9.0,29.0,54.0,47.0,39.0,27.0,65.0,57.0,20.0,25.0,89.0,90.0
101,2025-07-03 16:30:34.658426+00:00,0.1,0.1,56.0,41.0,20.0,50.0,7.0,99.0,55.0,10.0,70.0,45.0,47.0,47.0,100.0,40.0,35.0,11.0,29.0,63.0,90.0,40.0,43.0,14.0,94.0,5.0,3.0,30.0,22.0,37.0,96.0,45.0,29.0,49.0,27.0,70.0,89.0,85.0,36.0,28.0,75.0,74.0
102,2025-07-03 16:30:34.816938+00:00,0.1,0.1,55.0,72.0,11.0,24.0,49.0,68.0,53.0,30.0,19.0,55.0,51.0,28.0,83.0,13.0,31.0,42.0,46.0,56.0,61.0,76.0,21.0,100.0,88.0,22.0,94.0,26.0,26.0,27.0,89.0,21.0,46.0,43.0,40.0,60.0,12.0,5.0,62.0,40.0,85.0,69.0
103,2025-07-03 16:30:34.929640+00:00,0.1,0.1,21.0,35.0,89.0,5.0,21.0,11.0,99.0,41.0,61.0,35.0,2.0,91.0,47.0,26.0,32.0,99.0,78.0,100.0,70.0,53.0,90.0,89.0,0.0,89.0,88.0,93.0,93.0,61.0,26.0,55.0,63.0,15.0,18.0,22.0,47.0,2.0,17.0,95.0,29.0,14.0
104,2025-07-03 16:30:34.993623+00:00,0.1,0.1,39.0,89.0,16.0,19.0,41.0,92.0,97.0,60.0,39.0,19.0,93.0,2.0,85.0,88.0,84.0,50.0,14.0,45.0,98.0,68.0,96.0,98.0,10.0,36.0,77.0,29.0,71.0,77.0,13.0,85.0,39.0,42.0,55.0,3.0,57.0,68.0,99.0,78.0,88.0,67.0
105,2025-07-03 16:30:35.093971+00:00,0.1,0.1,60.0,26.0,92.0,74.0,0.0,75.0,88.0,80.0,46.0,68.0,52.0,80.0,24.0,96.0,66.0,68.0,52.0,65.0,72.0,0.0,0.0,85.0,93.0,70.0,73.0,27.0,33.0,57.0,72.0,35.0,39.0,69.0,85.0,78.0,97.0,62.0,93.0,87.0,48.0,91.0
106,2025-07-03 16:30:35.195907+00:00,0.1,0.1,57.0,59.0,59.0,26.0,83.0,85.0,50.0,36.0,30.0,52.0,27.0,13.0,0.0,47.0,88.0,57.0,63.0,95.0,100.0,22.0,3.0,16.0,76.0,44.0,57.0,34.0,89.0,64.0,80.0,100.0,34.0,91.0,35.0,71.0,74.0,91.0,52.0,82.0,36.0,6.0
107,2025-07-03 16:30:35.357252+00:00,0.1,0.1,30.0,65.0,69.0,0.0,62.0,39.0,10.0,67.0,12.0,11.0,89.0,66.0,45.0,60.0,92.0,69.0,28.0,3.0,50.0,9.0,42.0,64.0,37.0,75.0,9.0,79.0,72.0,63.0,47.0,82.0,62.0,27.0,70.0,30.0,61.0,64.0,46.0,90.0,57.0,69.0
108,2025-07-03 16:30:35.399078+00:00,0.1,0.1,40.0,37.0,82.0,78.0,38.0,5.0,6.0,55.0,64.0,5.0,95.0,49.0,96.0,83.0,92.0,76.0,45.0,57.0,74.0,39.0,85.0,37.0,21.0,66.0,18.0,18.0,53.0,55.0,89.0,20.0,10.0,87.0,23.0,76.0,25.0,100.0,58.0,29.0,53.0,17.0
109,2025-07-03 16:30:35.499610+00:00,0.1,0.1,8.0,71.0,60.0,36.0,72.0,69.0,53.0,34.0,35.0,77.0,42.0,28.0,40.0,100.0,4.0,39.0,28.0,86.0,44.0,43.0,14.0,2.0,85.0,29.0,93.0,10.0,90.0,41.0,27.0,51.0,71.0,77.0,85.0,17.0,30.0,87.0,48.0,71.0,2.0,13.0
110,2025-07-03 16:30:35.601085+00:00,0.1,0.1,70.0,98.0,30.0,20.0,67.0,3.0,40.0,47.0,34.0,40.0,58.0,94.0,70.0,16.0,83.0,39.0,85.0,35.0,41.0,75.0,72.0,51.0,82.0,37.0,76.0,44.0,64.0,12.0,24.0,48.0,73.0,60.0,63.0,43.0,85.0,61.0,35.0,41.0,72.0,26.0
111,2025-07-03 16:30:35.700935+00:00,0.1,0.1,80.0,35.0,5.0,42.0,23.0,62.0,26.0,10.0,29.0,86.0,76.0,39.0,69.0,37.0,56.0,65.0,89.0,27.0,75.0,15.0,78.0,68.0,28.0,17.0,5.0,45.0,42.0,81.0,42.0,65.0,92.0,72.0,58.0,64.0,85.0,15.0,79.0,73.0,93.0,6.0
112,2025-07-03 16:30:35.800831+00:00,0.1,0.1,74.0,26.0,83.0,24.0,36.0,61.0,58.0,9.0,76.0,47.0,40.0,12.0,70.0,62.0,14.0,48.0,79.0,4.0,40.0,36.0,91.0,64.0,53.0,64.0,13.0,73.0,46.0,6.0,2.0,77.0,46.0,20.0,38.0,56.0,47.0,57.0,35.0,71.0,2.0,72.0
113,2025-07-03 16:30:35.936643+00:00,0.1,0.1,84.0,76.0,86.0,18.0,54.0,33.0,6.0,49.0,36.0,77.0,19.0,23.0,17.0,31.0,80.0,5.0,25.0,26.0,42.0,58.0,5.0,3.0,49.0,83.0,21.0,18.0,4.0,31.0,85.0,91.0,78.0,85.0,86.0,5.0,10.0,71.0,14.0,18.0,19.0,47.0
114,2025-07-03 16:30:36.030520+00:00,0.1,0.1,49.0,0.0,88.0,79.0,79.0,37.0,43.0,73.0,47.0,67.0,70.0,84.0,99.0,21.0,68.0,10.0,61.0,57.0,99.0,13.0,24.0,64.0,4.0,94.0,6.0,49.0,84.0,45.0,42.0,28.0,87.0,12.0,4.0,2.0,79.0,56.0,46.0,30.0,42.0,88.0
115,2025-07-03 16:30:36.128047+00:00,0.1,0.1,64.0,96.0,45.0,50.0,69.0,81.0,11.0,24.0,24.0,34.0,80.0,83.0,46.0,50.0,88.0,85.0,92.0,32.0,49.0,39.0,95.0,33.0,70.0,66.0,70.0,71.0,1.0,7.0,36.0,57.0,20.0,60.0,15.0,72.0,67.0,82.0,44.0,15.0,82.0,45.0
116,2025-07-03 16:30:36.228441+00:00,0.1,0.1,43.0,44.0,58.0,100.0,81.0,13.0,18.0,40.0,32.0,72.0,3.0,61.0,81.0,70.0,26.0,84.0,90.0,4.0,100.0,76.0,6.0,40.0,81.0,30.0,94.0,36.0,73.0,8.0,50.0,11.0,78.0,24.0,91.0,63.0,46.0,47.0,28.0,34.0,96.0,56.0
117,2025-07-03 16:30:36.394392+00:00,0.1,0.1,96.0,83.0,35.0,67.0,74.0,48.0,42.0,69.0,61.0,34.0,75.0,9.0,88.0,30.0,82.0,19.0,12.0,82.0,52.0,91.0,21.0,27.0,85.0,18.0,27.0,86.0,31.0,3.0,37.0,77.0,5.0,18.0,67.0,39.0,51.0,94.0,99.0,49.0,63.0,46.0
118,2025-07-03 16:30:36.435589+00:00,0.1,0.1,23.0,70.0,37.0,53.0,17.0,54.0,25.0,99.0,27.0,97.0,60.0,45.0,93.0,55.0,76.0,51.0,29.0,66.0,60.0,59.0,18.0,73.0,90.0,49.0,79.0,12.0,41.0,58.0,14.0,12.0,2.0,72.0,57.0,28.0,47.0,6.0,78.0,20.0,6.0,20.0
119,2025-07-03 16:30:36.536035+00:00,0.1,0.1,5.0,76.0,76.0,24.0,0.0,100.0,67.0,92.0,43.0,66.0,76.0,0.0,10.0,40.0,19.0,92.0,22.0,48.0,60.0,73.0,7.0,23.0,28.0,2.0,40.0,65.0,27.0,42.0,29.0,34.0,39.0,21.0,93.0,11.0,51.0,31.0,89.0,33.0,19.0,0.0
120,2025-07-03 16:30:36.636682+00:00,0.1,0.1,7.0,9.0,60.0,48.0,30.0,7.0,64.0,14.0,46.0,64.0,77.0,19.0,90.0,44.0,21.0,45.0,39.0,97.0,96.0,22.0,27.0,76.0,1.0,42.0,33.0,85.0,66.0,75.0,28.0,82.0,0.0,66.0,70.0,73.0,79.0,13.0,96.0,12.0,1.0,47.0
121,2025-07-03 16:30:36.737135+00:00,0.1,0.1,77.0,91.0,15.0,28.0,83.0,49.0,39.0,19.0,69.0,17.0,53.0,91.0,4.0,28.0,50.0,69.0,99.0,62.0,45.0,56.0,90.0,48.0,42.0,18.0,90.0,100.0,95.0,5.0,37.0,37.0,64.0,3.0,67.0,24.0,34.0,79.0,11.0,33.0,70.0,37.0
122,2025-07-03 16:30:36.837170+00:00,0.1,0.1,60.0,14.0,36.0,87.0,92.0,30.0,92.0,8.0,80.0,59.0,98.0,23.0,87.0,50.0,64.0,59.0,80.0,49.0,99.0,21.0,3.0,8.0,90.0,5.0,83.0,44.0,95.0,19.0,42.0,56.0,43.0,24.0,91.0,33.0,40.0,94.0,52.0,96.0,20.0,39.0
123,2025-07-03 16:30:36.937466+00:00,0.1,0.1,37.0,69.0,35.0,59.0,77.0,5.0,32.0,72.0,21.0,61.0,43.0,78.0,33.0,92.0,49.0,76.0,36.0,72.0,5.0,4.0,0.0,64.0,0.0,71.0,1.0,75.0,19.0,99.0,67.0,49.0,49.0,93.0,65.0,55.0,73.0,33.0,21.0,10.0,51.0,38.0
124,2025-07-03 16:30:37.055768+00:00,0.1,0.1,78.0,68.0,79.0,7.0,95.0,62.0,87.0,67.0,16.0,89.0,32.0,17.0,47.0,20.0,91.0,19.0,70.0,95.0,12.0,51.0,53.0,69.0,65.0,32.0,14.0,21.0,71.0,96.0,82.0,16.0,7.0,69.0,10.0,46.0,55.0,15.0,40.0,96.0,6.0,12.0
125,2025-07-03 16:30:37.152652+00:00,0.1,0.1,79.0,30.0,11.0,86.0,37.0,96.0,100.0,61.0,59.0,18.0,71.0,31.0,53.0,60.0,64.0,22.0,40.0,17.0,1.0,37.0,72.0,87.0,52.0,95.0,97.0,48.0,0.0,87.0,43.0,95.0,4.0,83.0,45.0,69.0,11.0,84.0,8.0,22.0,22.0,14.0
126,2025-07-03 16:30:37.247932+00:00,0.1,0.1,68.0,11.0,20.0,1.0,57.0,96.0,95.0,18.0,46.0,66.0,25.0,38.0,28.0,0.0,25.0,92.0,65.0,57.0,77.0,74.0,0.0,25.0,78.0,30.0,92.0,62.0,39.0,43.0,54.0,100.0,27.0,43.0,61.0,82.0,68.0,26.0,3.0,42.0,25.0,24.0
127,2025-07-03 16:30:37.433779+00:00,0.1,0.1,26.0,34.0,73.0,78.0,61.0,26.0,76.0,85.0,60.0,86.0,49.0,80.0,76.0,26.0,3.0,87.0,41.0,52.0,67.0,22.0,23.0,1.0,80.0,19.0,55.0,58.0,5.0,68.0,93.0,0.0,90.0,26.0,37.0,94.0,60.0,85.0,92.0,8.0,17.0,51.0
128,2025-07-03 16:30:37.449392+00:00,0.1,0.1,25.0,7.0,62.0,99.0,61.0,54.0,5.0,31.0,68.0,67.0,74.0,27.0,58.0,60.0,43.0,16.0,35.0,34.0,97.0,67.0,26.0,37.0,53.0,38.0,82.0,17.0,81.0,38.0,45.0,72.0,55.0,83.0,100.0,23.0,57.0,96.0,4.0,93.0,86.0,82.0
129,2025-07-03 16:30:37.551457+00:00,0.1,0.1,75.0,79.0,33.0,12.0,42.0,46.0,98.0,89.0,99.0,25.0,17.0,34.0,93.0,90.0,92.0,35.0,49.0,54.0,80.0,65.0,42.0,15.0,75.0,90.0,87.0,18.0,57.0,36.0,24.0,52.0,89.0,27.0,89.0,56.0,87.0,48.0,63.0,1.0,62.0,44.0
130,2025-07-03 16:30:37.650610+00:00,0.1,0.1,4.0,93.0,86.0,20.0,89.0,53.0,47.0,58.0,20.0,36.0,38.0,94.0,11.0,63.0,85.0,46.0,15.0,68.0,84.0,79.0,60.0,61.0,36.0,73.0,88.0,55.0,51.0,0.0,81.0,16.0,56.0,3.0,86.0,20.0,78.0,56.0,68.0,23.0,97.0,46.0
131,2025-07-03 16:30:37.751486+00:00,0.1,0.1,96.0,47.0,39.0,37.0,57.0,36.0,77.0,13.0,95.0,77.0,3.0,27.0,85.0,100.0,57.0,59.0,71.0,100.0,19.0,2.0,97.0,1.0,57.0,1.0,32.0,38.0,24.0,84.0,96.0,94.0,18.0,98.0,66.0,10.0,59.0,46.0,94.0,66.0,67.0,59.0
132,2025-07-03 16:30:37.853386+00:00,0.1,0.1,59.0,41.0,54.0,77.0,79.0,20.0,64.0,82.0,69.0,32.0,33.0,78.0,100.0,92.0,93.0,16.0,11.0,69.0,72.0,16.0,32.0,38.0,44.0,57.0,26.0,71.0,40.0,51.0,39.0,11.0,81.0,90.0,28.0,19.0,82.0,67.0,33.0,54.0,44.0,11.0
133,2025-07-03 16:30:37.953568+00:00,0.1,0.1,12.0,36.0,81.0,50.0,49.0,96.0,73.0,0.0,69.0,71.0,96.0,81.0,27.0,76.0,53.0,64.0,99.0,48.0,51.0,55.0,69.0,100.0,45.0,64.0,41.0,30.0,51.0,89.0,53.0,84.0,42.0,44.0,64.0,58.0,92.0,44.0,58.0,65.0,75.0,75.0
134,2025-07-03 16:30:38.054693+00:00,0.1,0.1,47.0,74.0,49.0,88.0,24.0,40.0,26.0,67.0,24.0,14.0,88.0,96.0,100.0,50.0,69.0,80.0,45.0,18.0,40.0,70.0,81.0,50.0,26.0,89.0,80.0,100.0,13.0,89.0,5.0,50.0,96.0,71.0,39.0,40.0,63.0,52.0,81.0,67.0,16.0,3.0
135,2025-07-03 16:30:38.166126+00:00,0.1,0.1,58.0,30.0,19.0,15.0,50.0,6.0,58.0,13.0,65.0,7.0,23.0,3.0,43.0,46.0,47.0,15.0,64.0,9.0,19.0,7.0,87.0,36.0,52.0,50.0,93.0,9.0,29.0,53.0,90.0,65.0,19.0,18.0,49.0,92.0,77.0,81.0,20.0,5.0,50.0,60.0
136,2025-07-03 16:30:38.298973+00:00,0.1,0.1,23.0,53.0,11.0,81.0,20.0,16.0,66.0,80.0,40.0,92.0,15.0,5.0,11.0,62.0,82.0,64.0,31.0,91.0,91.0,20.0,53.0,98.0,7.0,77.0,68.0,63.0,55.0,76.0,68.0,38.0,99.0,82.0,71.0,20.0,12.0,25.0,56.0,97.0,13.0,12.0
137,2025-07-03 16:30:38.372177+00:00,0.1,0.1,70.0,57.0,57.0,22.0,93.0,100.0,57.0,95.0,80.0,64.0,94.0,47.0,9.0,0.0,6.0,79.0,2.0,52.0,56.0,93.0,34.0,62.0,56.0,10.0,95.0,50.0,87.0,25.0,95.0,54.0,18.0,28.0,85.0,36.0,63.0,61.0,23.0,18.0,83.0,85.0
138,2025-07-03 16:30:38.474360+00:00,0.1,0.1,3.0,67.0,75.0,33.0,50.0,71.0,0.0,20.0,43.0,51.0,98.0,31.0,1.0,64.0,37.0,36.0,86.0,50.0,25.0,85.0,79.0,73.0,59.0,83.0,99.0,0.0,43.0,48.0,53.0,53.0,84.0,84.0,53.0,12.0,12.0,29.0,53.0,53.0,71.0,85.0
139,2025-07-03 16:30:38.576715+00:00,0.1,0.1,44.0,26.0,19.0,7.0,90.0,37.0,36.0,24.0,32.0,44.0,6.0,50.0,68.0,64.0,90.0,86.0,2.0,33.0,15.0,74.0,49.0,49.0,81.0,99.0,60.0,86.0,86.0,91.0,29.0,65.0,53.0,27.0,62.0,14.0,29.0,57.0,86.0,4.0,44.0,74.0
